,Target,Disclosure,Source
2183,14.2,MM2,G4 Sector Disclosure 2010
2185,14.3,EU5,G4 Sector Disclosure 2009
2186,14.3,EU11,G4 Sector Disclosure 2009
2187,14.3,CRE3,G4 Sector Disclosure 2011
2188,14.3,CRE4,G4 Sector Disclosure 2011
2189,14.3,EU2,G4 Sector Disclosure 2009
2190,14.3,EU12,G4 Sector Disclosure 2009
2191,14.3,OG6,G4 Sector Disclosure 2012
2192,14.4,FP2,G4 Sector Disclosure 2010
2194,14.4,EO9,G4 Sector Disclosure 2012
2195,15.1,MM1,G4 Sector Disclosure 2010
2197,15.1,EU13,G4 Sector Disclosure 2009
2198,15.1,CRE5,G4 Sector Disclosure 2011
2200,15.1,OG4,G4 Sector Disclosure 2012
2202,15.1,MM2,G4 Sector Disclosure 2010
2204,15.2,EU5,G4 Sector Disclosure 2009
2205,15.2,MM1,G4 Sector Disclosure 2010
2207,15.2,CRE3,G4 Sector Disclosure 2011
2208,15.2,CRE4,G4 Sector Disclosure 2011
2209,15.2,CRE5,G4 Sector Disclosure 2011
2211,15.2,FP2,G4 Sector Disclosure 2010
2213,15.2,EO9,G4 Sector Disclosure 2012
2214,15.2,OG14,G4 Sector Disclosure 2010
2215,15.3,MM1,G4 Sector Disclosure 2010
2217,15.3,CRE5,G4 Sector Disclosure 2011
2219,15.4,MM1,G4 Sector Disclosure 2010
2221,15.4,EU13,G4 Sector Disclosure 2009
2222,15.4,CRE5,G4 Sector Disclosure 2011
2224,15.4,OG4,G4 Sector Disclosure 2012
2226,15.4,MM2,G4 Sector Disclosure 2010
2228,15.4,OG14,G4 Sector Disclosure 2012
2229,15.5,MM1,G4 Sector Disclosure 2010
2231,15.5,EU13,G4 Sector Disclosure 2009
2232,15.5,CRE5,G4 Sector Disclosure 2011
2234,15.5,OG4,G4 Sector Disclosure 2012
2236,15.5,FP2,G4 Sector Disclosure 2010
2238,15.5,MM2,G4 Sector Disclosure 2010
2240,15.5,EO9,G4 Sector Disclosure 2012
2241,15.5,OG14,G4 Sector Disclosure 2012
2242,15.6,FP9,G4 Sector Disclosure 2010
2243,16.1,M4,G4 Sector Disclosure 2012
2245,16.1,M5,G4 Sector Disclosure 2012
2248,16.7,Former EU19,G4 Sector Disclosure 2009
2250,16.1,EO4,G4 Sector Disclosure 2012
2251,16.1,M6,G4 Sector Disclosure 2010
2252,16.1,EO12,G4 Sector Disclosure 2012
2253,17.7,EO13,G4 Sector Disclosure 2012
2254,17.7,Former,G4 Sector Disclosure 2010
2256,17.7,Former EU8,G4 Sector Disclosure 2009
2258,17.7,OG2,G4 Sector Disclosure 2012
