,Target,Disclosure,Source
746,8.5,405-1,GRI 405: Diversity and
755,8.5,405-2-b,GRI 405: Diversity and
757,8.6,401-1,GRI 401: Employment
761,8.7,408-1,GRI 408: Child Labor 2016
770,8.7,409-1,GRI 409: Forced or
774,8.7,409-1-b,GRI 409: Forced or
776,8.8,102-41-a,GRI 102: General
778,8.8,402-1,GRI 402: Labor/
782,8.8,403-1-a,GRI 403: Occupational
788,8.8,403-1-b,GRI 403: Occupational
791,8.8,403-2-a,GRI 403: Occupational
798,8.8,403-2-b,GRI 403: Occupational
800,8.8,403-2-c,GRI 403: Occupational
803,8.8,403-2-d,GRI 403: Occupational
807,8.8,403-3-a,GRI 403: Occupational
810,8.8,403-4-a,GRI 403: Occupational
814,8.8,403-4-b,GRI 403: Occupational
817,8.8,403-5-a,GRI 403: Occupational
820,8.8,403-7-a,GRI 403: Occupational
823,8.8,403-8,GRI 403: Occupational
837,8.8,403-9,GRI 403: Occupational
863,8.8,403-10,GRI 403: Occupational
882,8.8,406-1,GRI 406: Non-
889,8.8,407-1,GRI 407: Freedom of
895,8.8,414-1-a,GRI 414: Supplier Social
897,8.8,414-2,GRI 414: Supplier Social
904,9.1,201-1,GRI 201: Economic
913,9.1,203-1,GRI 203: Indirect
917,9.4,201-1,GRI 201: Economic
926,9.4,203-1,GRI 203: Indirect
930,9.5,201-1,GRI 201: Economic
939,10.3,102-8-a,GRI 102: General
941,10.3,102-8-c,GRI 102: General
943,10.3,401-1,GRI 401: Employment
947,10.3,404-1-a,GRI 404: Training and
951,10.3,404-3-a,GRI 404: Training and
953,10.3,405-2-a,GRI 405: Diversity and
955,10.4,207-1,GRI 207: Tax 2019
962,10.4,207-2,GRI 207: Tax 2019
972,10.4,207-3,GRI 207: Tax 2019
978,10.4,207-4,GRI 207: Tax 2019
994,11.2,203-1,GRI 203: Indirect
998,11.6,306-1,GRI 306: Waste 2020
1002,11.6,306-2-a,GRI 306: Waste 2020
1005,11.6,306-2-b,GRI 306: Waste 2020
1008,11.6,306-2-c,GRI 306: Waste 2020
1009,11.6,306-3-a,GRI 306: Waste 2020
1011,11.6,306-4-a,GRI 306: Waste 2020
1013,11.6,306-4-b,GRI 306: Waste 2020
1018,11.6,306-4-c,GRI 306: Waste 2020
1023,11.6,306-4-d,GRI 306: Waste 2020
1027,11.6,306-5-a,GRI 306: Waste 2020
1029,11.6,306-5-b,GRI 306: Waste 2020
1035,11.6,306-5-c,GRI 306: Waste 2020
1041,11.6,306-5-d,GRI 306: Waste 2020
1045,12.2,301-1-a,GRI 301: Materials 2016
1049,12.2,301-2-a,GRI 301: Materials 2016
1051,12.2,301-3-a,GRI 301: Materials 2016
1052,12.2,302-1,GRI 302: Energy 2016
1069,12.2,302-2-a,GRI 302: Energy 2016
1070,12.2,302-3-a,GRI 302: Energy 2016
1071,12.2,302-4-a,GRI 302: Energy 2016
1073,12.2,302-5-a,GRI 302: Energy 2016
1075,12.4,303-1-a,GRI 303: Water and
1079,12.4,303-1-c,GRI 303: Water and
1082,12.4,305-1,GRI 305: Emissions 2016
1085,12.4,305-2,GRI 305: Emissions 2016
1090,12.4,305-3,GRI 305: Emissions 2016
1095,12.4,305-6-a,GRI 305: Emissions 2016
1096,12.4,305-7,GRI 305: Emissions 2016
1106,12.4,306-1,GRI 306: Waste 2020
1110,12.4,306-2-a,GRI 306: Waste 2016
1120,12.4,306-2-a,GRI 306: Waste 2020
1123,12.4,306-2-b,GRI 306: Waste 2016
1134,12.4,306-2-b,GRI 306: Waste 2020
1137,12.4,306-2-c,GRI 306: Waste 2020
1138,12.4,306-3-a,GRI 306: Waste 2016
1139,12.4,306-3-a,GRI 306: Waste 2020
1141,12.4,306-3-b,GRI 306: Waste 2016
1148,12.4,306-3-c,GRI 306: Waste 2016
1149,12.4,306-4-a,GRI 306: Waste 2016
1154,12.4,306-4-a,GRI 306: Waste 2020
1156,12.4,306-4-b,GRI 306: Waste 2016
1157,12.4,306-4-b,GRI 306: Waste 2020
1162,12.4,306-4-c,GRI 306: Waste 2020
1167,12.4,306-4-d,GRI 306: Waste 2020
1171,12.4,306-5-a,GRI 306: Waste 2020
1173,12.4,306-5-b,GRI 306: Waste 2020
1179,12.4,306-5-c,GRI 306: Waste 2020
1185,12.4,306-5-d,GRI 306: Waste 2020
1189,12.5,301-2-a,GRI 301: Materials 2016
1191,12.5,301-3-a,GRI 301: Materials 2016
1192,12.5,306-1,GRI 306: Waste 2020
1196,12.5,306-2-a,GRI 306: Waste 2016
1206,12.5,306-2-a,GRI 306: Waste 2020
1209,12.5,306-2-b,GRI 306: Waste 2016
1220,12.5,306-2-b,GRI 306: Waste 2020
1223,12.5,306-2-c,GRI 306: Waste 2020
1224,12.5,306-3-a,GRI 306: Waste 2020
1226,12.5,306-4-a,GRI 306: Waste 2020
1228,12.5,306-4-b,GRI 306: Waste 2020
1233,12.5,306-4-c,GRI 306: Waste 2020
1238,12.5,306-4-d,GRI 306: Waste 2020
1242,12.5,306-5-a,GRI 306: Waste 2020
1244,12.5,306-5-b,GRI 306: Waste 2020
1250,12.5,306-5-c,GRI 306: Waste 2020
1256,12.5,306-5-d,GRI 306: Waste 2020
1260,12.8,417-1,GRI 417: Marketing and
1270,13.1,201-2-a,GRI 201: Economic
1278,13.1,302-1,GRI 302: Energy 2016
1295,13.1,302-2-a,GRI 302: Energy 2016
1296,13.1,302-3-a,GRI 302: Energy 2016
1297,13.1,302-4-a,GRI 302: Energy 2016
1299,13.1,302-5-a,GRI 302: Energy 2016
1301,13.1,305-1,GRI 305: Emissions 2016
1304,13.1,305-2,GRI 305: Emissions 2016
1309,13.1,305-3,GRI 305: Emissions 2016
1314,13.1,305-4-a,GRI 305: Emissions 2016
1315,13.1,305-5-a,GRI 305: Emissions 2016
1316,14.2,304-1-a,GRI 304: Biodiversity 2016
1328,14.2,304-2,GRI 304: Biodiversity 2016
1343,14.2,304-3-a,GRI 304: Biodiversity 2016
1345,14.2,304-3-b,GRI 304: Biodiversity 2016
1347,14.2,304-4-a,GRI 304: Biodiversity 2016
1354,14.3,305-1,GRI 305: Emissions 2016
1366,14.3,305-2,GRI 305: Emissions 2016
1380,14.3,305-3,GRI 305: Emissions 2016
1393,14.3,305-4-a,GRI 305: Emissions 2016
1394,14.3,305-5-a,GRI 305: Emissions 2016
1395,14.3,305-7,GRI 305: Emissions 2016
1405,15.1,304-1-a,GRI 304: Biodiversity 2016
1417,15.1,304-2,GRI 304: Biodiversity 2016
1432,15.1,304-3,GRI 304: Biodiversity 2016
1438,15.1,304-4-a,GRI 304: Biodiversity 2016
1445,15.1,306-3-a,GRI 306: Waste 2016
1446,15.1,306-3-b,GRI 306: Waste 2016
1447,15.1,306-3-c,GRI 306: Waste 2016
1454,15.1,306-5-a,GRI 306: Waste 2016
1460,15.2,305-1,GRI 305: Emissions 2016
1472,15.2,305-2,GRI 305: Emissions 2016
1486,15.2,305-3,GRI 305: Emissions 2016
1499,15.2,305-4-a,GRI 305: Emissions 2016
1500,15.2,305-5-a,GRI 305: Emissions 2016
1501,15.2,305-7,GRI 305: Emissions 2016
1511,15.5,304-1-a,GRI 304: Biodiversity 2016
1523,15.5,304-2,GRI 304: Biodiversity 2016
1538,15.5,304-3,GRI 304: Biodiversity 2016
1544,15.5,304-4-a,GRI 304: Biodiversity 2016
1551,16.1,403-9-a,GRI 403: Occupational
1561,16.1,403-9-b,GRI 403: Occupational
1572,16.1,403-9-c,GRI 403: Occupational
1580,16.1,403-10,GRI 403: Occupational
1599,16.1,410-1,GRI 410: Security
1602,16.1,414-1-a,GRI 414: Supplier Social
1604,16.1,414-2,GRI 414: Supplier Social
1611,16.2,408-1,GRI 408: Child Labor 2016
1620,16.3,102-16-a,GRI 102: General
1622,16.3,102-17-a,GRI 102: General
1625,16.3,206-1,GRI 206: Anti-competitive
1629,16.3,307-1-a,GRI 307: Environmental
1634,16.3,416-2,GRI 416: Customer Health
1641,16.3,417-2,GRI 417: Marketing and
1648,16.3,417-3,GRI 417: Marketing and
1655,16.3,418-1,GRI 418: Customer
1662,16.3,419-1-a,GRI 419: Socioeconomic
1667,16.5,205-1,GRI 205: Anti-corruption
1669,16.5,205-2,GRI 205: Anti-corruption
1681,16.5,205-3,GRI 205: Anti-corruption
1687,16.5,415-1-a,GRI 415: Public Policy
1689,16.6,102-23,GRI 102: General
1692,16.6,102-25,GRI 102: General
1698,16.7,102-21,GRI 102: General
1702,16.7,102-22-a,GRI 102: General
1712,16.7,102-24,GRI 102: General
1719,16.7,102-29,GRI 102: General
1725,16.7,102-37,GRI 102: General
1727,16.7,403-4-a,GRI 403: Occupational
1731,16.7,403-4-b,GRI 403: Occupational
1734,16.1,418-1,GRI 418: Customer
1741,17.1,207-1,GRI 207: Tax 2019
1748,17.1,207-2,GRI 207: Tax 2019
1758,17.1,207-3,GRI 207: Tax 2019
1764,17.1,207-4,GRI 207: Tax 2019
1779,17.3,207-1,GRI 207: Tax 2019
1786,17.3,207-2,GRI 207: Tax 2019
1796,17.3,207-3,GRI 207: Tax 2019
1802,17.3,207-4,GRI 207: Tax 2019
1817,1.4,FS6,G4 Sector Disclosures 2008
1819,1.4,FS7,G4 Sector Disclosures 2008
1821,1.4,FS13,G4 Sector Disclosures 2008
1822,1.4,FS14,G4 Sector Disclosures 2008
1823,1.4,Former FS16,G4 Sector Disclosures 2008
1824,1.4,MM5,G4 Sector Disclosures 2010
1827,1.4,MM6,G4 Sector Disclosures 2010
1829,1.4,MM7,G4 Sector Disclosures 2010
1831,1.4,MM8,G4 Sector Disclosures 2010
1834,1.4,OG9,G4 Sector Disclosures 2012
1836,1.4,OG10,G4 Sector Disclosures 2012
1837,1.4,OG11,G4 Sector Disclosures 2012
1839,1.4,OG14,G4 Sector Disclosures 2012
1840,1.4,EU26,G4 Sector Disclosures 2009
1841,1.4,EU27,G4 Sector Disclosures 2009
1843,1.4,EU28,G4 Sector Disclosures 2009
1844,1.4,EU29,G4 Sector Disclosures 2009
1845,1.4,EU30,G4 Sector Disclosures 2009
1846,1.4,Former EU23,G4 Sector Disclosures 2010
1848,1.4,Former EU24,G4 Sector Disclosures 2010
1850,1.4,AO8,G4 Sector Disclosures 2011
1852,1.4,CRE7,G4 Sector Disclosure 2011
1854,1.4,EU22,G4 Sector Disclosure 2009
1856,1.4,former EU19,G4 Sector Disclosure 2010
1858,1.4,Former EU20,G4 Sector Disclosure 2010
1859,1.4,MM9,G4 Sector Disclosure 2010
1861,1.4,OG12,G4 Sector Disclosure 2012
1863,1.5,Former EU21,G4 Sector Disclosure 2010
1865,2.1,FP5,G4 Sector Disclosure 2008
